,pi_ID,bee_ID,Date,Time,LR,distSC,meanAct,meanIBD,meanSpeed,meanX,meanY,medianMinDistToOthers,totalInt,totalIntFrames,trackedFrames,varSpeed
0,raspberrypi,190,2023-09-23,02:45:01,Whole,0.0,,,,1396.5,1571.0,,,,1,
1,raspberrypi,987,2023-09-23,15:35:01,Whole,0.0,,,,1402.75,1574.25,,,,1,
2,raspberrypi,17,2023-09-23,09:25:01,Whole,377.7785603035196,1.0,,755.5571206070392,1885.25,762.125,,,,2,
3,raspberrypi,17,2023-09-23,00:55:01,Whole,0.0,,,,771.25,1506.25,,,,1,
4,raspberrypi,896,2023-09-23,08:30:01,Whole,0.0,,,,2754.5,1604.25,,,,1,
5,raspberrypi,37,2023-09-22,21:45:01,Whole,0.0,,,,2708.75,1944.0,,,,1,
6,raspberrypi,396,2023-09-23,12:40:01,Whole,0.0,,,,2750.25,1235.5,,,,1,
7,raspberrypi,250,2023-09-22,19:15:01,Whole,0.0,,,,1044.75,1252.25,,,,1,
8,raspberrypi,37,2023-09-22,19:05:01,Whole,0.0,,,,2265.0,2009.5,,,,1,
9,raspberrypi,250,2023-09-23,03:05:01,Whole,0.0,,,,2725.75,1522.75,,,,1,
10,raspberrypi,190,2023-09-22,20:40:01,Whole,0.0,,,,1400.25,1570.5,,,,1,
11,raspberrypi,190,2023-09-22,20:25:01,Whole,0.0,,,,2484.0,1019.75,,,,1,
12,raspberrypi,250,2023-09-22,23:15:01,Whole,0.0,,,,3119.5,1110.25,,,,1,
13,raspberrypi,190,2023-09-23,16:00:01,Whole,0.0,,,,2794.75,2789.5,,,,1,
14,raspberrypi,17,2023-09-23,06:15:01,Whole,336.15493544643965,,,,2169.5,713.0,,0,0,1,
15,raspberrypi,250,2023-09-23,06:15:01,Whole,336.15493544643965,,,,1548.25,970.0,,0,0,1,
16,raspberrypi,987,2023-09-23,10:25:01,Whole,0.0,,,,1063.75,1426.25,,,,1,
17,raspberrypi,682,2023-09-23,16:10:01,Whole,0.0,,,,2975.5,1288.0,,,,1,
18,raspberrypi,190,2023-09-22,22:25:01,Whole,0.0,,,,2449.5,883.0,,,,1,
19,raspberrypi,425,2023-09-22,23:05:01,Whole,0.0,,,,3119.0,1110.75,,,,1,
20,raspberrypi,250,2023-09-22,21:05:01,Whole,0.0,,,,1397.75,1570.5,,,,1,
21,raspberrypi,987,2023-09-22,18:30:01,Whole,0.0,,,,2806.5,2493.5,,,,1,
22,raspberrypi,683,2023-09-23,02:00:01,Whole,0.0,,,,1644.25,1025.75,,,,1,
23,raspberrypi,250,2023-09-23,08:25:01,Whole,0.0,,,,1034.5,1139.0,,,,1,
24,raspberrypi,250,2023-09-22,23:20:01,Whole,0.0,,,,836.0,1080.0,,,,1,
25,raspberrypi,190,2023-09-23,09:45:01,Whole,0.0,,,,1399.75,1571.5,,,,1,
26,raspberrypi,17,2023-09-22,21:10:01,Whole,0.0,,,,2221.75,423.5,,,,1,
27,raspberrypi,190,2023-09-23,11:00:01,Whole,0.0,,,,2840.0,2782.25,,,,1,
28,raspberrypi,987,2023-09-22,22:10:01,Whole,0.0,,,,1403.5,1571.25,,,,1,
29,raspberrypi,190,2023-09-22,22:30:01,Whole,0.0,,,,1401.0,1571.0,,,,1,
30,raspberrypi,17,2023-09-23,14:20:01,Whole,0.0,,,,1991.25,1508.75,,,,1,
31,raspberrypi,683,2023-09-23,11:25:01,Whole,0.0,,,,2520.75,2880.5,,,,1,
32,raspberrypi,190,2023-09-23,11:30:01,Whole,0.0,,,,2217.75,1167.75,,,,1,
33,raspberrypi,683,2023-09-22,19:30:01,Whole,438.7812132771867,,,,1919.25,1373.0,,0,0,1,
34,raspberrypi,896,2023-09-22,19:30:01,Whole,438.7812132771867,,,,1050.0,1252.5,,0,0,1,
35,raspberrypi,653,2023-09-23,14:35:01,Whole,720.4789422668784,,,,2729.5,1004.5,,0,0,1,
36,raspberrypi,987,2023-09-23,14:35:01,Whole,720.4789422668784,,,,1405.75,1573.75,,0,0,1,
37,raspberrypi,379,2023-09-23,16:25:01,Whole,0.0,,,,2321.75,568.75,,,,1,
38,raspberrypi,250,2023-09-22,18:35:01,Whole,0.0,,,,1039.75,1248.25,,,,1,
39,raspberrypi,190,2023-09-23,14:30:01,Whole,0.0,,,,2602.75,1454.25,,,,1,
40,raspberrypi,190,2023-09-23,14:40:01,Whole,0.0,,,,1393.25,313.0,,,,1,
41,raspberrypi,392,2023-09-23,13:00:01,Whole,0.0,,,,1032.5,1140.0,,,,1,
42,raspberrypi,987,2023-09-22,22:50:01,Whole,0.0,,,,3124.0,1110.0,,,,1,
43,raspberrypi,190,2023-09-23,11:45:01,Whole,0.0,,,,2282.5,2422.75,,,,1,
44,raspberrypi,106,2023-09-22,22:05:01,Whole,0.0,,,,2829.5,1893.75,,,,1,
45,raspberrypi,17,2023-09-23,06:10:01,Whole,0.0,,,,2516.5,685.0,,,,1,
46,raspberrypi,683,2023-09-23,04:20:01,Whole,0.0,,,,1851.75,388.5,,,,1,
47,raspberrypi,425,2023-09-22,23:00:01,Whole,0.0,,,,3119.75,1110.25,,,,1,
48,raspberrypi,653,2023-09-23,14:45:01,Whole,0.0,,,,1403.75,1499.5,,,,1,
49,raspberrypi,653,2023-09-23,12:05:01,Whole,0.0,,,,2000.25,1724.75,,,,1,
50,raspberrypi,17,2023-09-23,00:35:01,Whole,0.0,,,,554.5,1327.25,,,,1,
51,raspberrypi,470,2023-09-23,12:45:01,Whole,0.0,,,,1547.75,971.0,,,,1,
