"bout.ID","x","time.num","direction","bee_ID","round","treatment","microcolony","datetime","deployed_at","day_or_night","total_deployment_time"
"1",NA,7.73168922084625,NA,283,"2","imidacloprid","2_imidacloprid",2023-08-07 17:33:37.948681,2023-08-07 17:35:01,"day",24.0833333333333
"2",NA,7.73413903078823,NA,283,"2","imidacloprid","2_imidacloprid",2023-08-07 17:37:09.61226,2023-08-07 17:35:01,"day",24.0833333333333
"3",-61.75,7.7424909578181,-1,283,"2","imidacloprid","2_imidacloprid",2023-08-07 17:49:11.218755,2023-08-07 17:35:01,"day",24.0833333333333
"1",-43.2857142857143,8.28197182695278,-1,299,"2","imidacloprid","2_imidacloprid",2023-08-08 06:46:02.365849,2023-08-07 17:35:01,"day",24.0833333333333
"1",NA,8.38582320910913,NA,286,"2","imidacloprid","2_imidacloprid",2023-08-08 09:15:35.125267,2023-08-07 17:35:01,"day",24.0833333333333
"2",-170,8.57158606396367,-1,286,"2","imidacloprid","2_imidacloprid",2023-08-08 13:43:05.035926,2023-08-07 17:35:01,"day",24.0833333333333
"3",65,8.57734955939311,1,286,"2","imidacloprid","2_imidacloprid",2023-08-08 13:51:23.001932,2023-08-07 17:35:01,"day",24.0833333333333
"4",-99,8.57936702333943,-1,286,"2","imidacloprid","2_imidacloprid",2023-08-08 13:54:17.310817,2023-08-07 17:35:01,"day",24.0833333333333
"1",-88,8.47240111855307,-1,285,"2","imidacloprid","2_imidacloprid",2023-08-08 11:20:15.456643,2023-08-07 17:35:01,"day",24.0833333333333
"2",-146,8.49273143374534,-1,285,"2","imidacloprid","2_imidacloprid",2023-08-08 11:49:31.995876,2023-08-07 17:35:01,"day",24.0833333333333
"3",144,8.52363856333825,1,285,"2","imidacloprid","2_imidacloprid",2023-08-08 12:34:02.371872,2023-08-07 17:35:01,"day",24.0833333333333
"1",-88,8.54809919286381,-1,284,"2","imidacloprid","2_imidacloprid",2023-08-08 13:09:15.770263,2023-08-07 17:35:01,"day",24.0833333333333
"2",-52,8.55273342051755,-1,284,"2","imidacloprid","2_imidacloprid",2023-08-08 13:15:56.167533,2023-08-07 17:35:01,"day",24.0833333333333
"3",-137.5,8.55522374182443,-1,284,"2","imidacloprid","2_imidacloprid",2023-08-08 13:19:31.331294,2023-08-07 17:35:01,"day",24.0833333333333
"4",9.5,8.5610455445467,1,284,"2","imidacloprid","2_imidacloprid",2023-08-08 13:27:54.335049,2023-08-07 17:35:01,"day",24.0833333333333
"1",-184,8.59767367523715,-1,292,"2","imidacloprid","2_imidacloprid",2023-08-08 14:20:39.00554,2023-08-07 17:35:01,"day",24.0833333333333
"2",-187,8.59913856256339,-1,292,"2","imidacloprid","2_imidacloprid",2023-08-08 14:22:45.571805,2023-08-07 17:35:01,"day",24.0833333333333
"3",-156,8.61422184258148,-1,292,"2","imidacloprid","2_imidacloprid",2023-08-08 14:44:28.767199,2023-08-07 17:35:01,"day",24.0833333333333
"4",-92.8,8.64752977799164,-1,292,"2","imidacloprid","2_imidacloprid",2023-08-08 15:32:26.572819,2023-08-07 17:35:01,"day",24.0833333333333
"5",-32.375,8.65029899008787,-1,292,"2","imidacloprid","2_imidacloprid",2023-08-08 15:36:25.832744,2023-08-07 17:35:01,"day",24.0833333333333
"6",-197,8.65443562229061,-1,292,"2","imidacloprid","2_imidacloprid",2023-08-08 15:42:23.237766,2023-08-07 17:35:01,"day",24.0833333333333
"7",-300.5,8.66326657583776,-1,292,"2","imidacloprid","2_imidacloprid",2023-08-08 15:55:06.232152,2023-08-07 17:35:01,"day",24.0833333333333
"1",-357,8.61277899366286,-1,295,"2","imidacloprid","2_imidacloprid",2023-08-08 14:42:24.105052,2023-08-07 17:35:01,"day",24.0833333333333
"2",-26,8.6234705049379,-1,295,"2","imidacloprid","2_imidacloprid",2023-08-08 14:57:47.851627,2023-08-07 17:35:01,"day",24.0833333333333
"1",-205,8.6378014612322,-1,298,"2","imidacloprid","2_imidacloprid",2023-08-08 15:18:26.04625,2023-08-07 17:35:01,"day",24.0833333333333
"1",126,8.71941127978725,1,291,"2","imidacloprid","2_imidacloprid",2023-08-08 17:15:57.134574,2023-08-07 17:35:01,"day",24.0833333333333
"2",-43.5,8.72900499088805,-1,291,"2","imidacloprid","2_imidacloprid",2023-08-08 17:29:46.031213,2023-08-07 17:35:01,"day",24.0833333333333
"1",57.9230769230769,8.74715456756334,1,274,"2","flupyradifurone","2_flupyradifurone",2023-08-08 17:55:54.154638,2023-08-08 17:55:01,"day",22.3333333333333
"2",-1.81081081081081,8.74805226574291,-1,274,"2","flupyradifurone","2_flupyradifurone",2023-08-08 17:57:11.71576,2023-08-08 17:55:01,"day",22.3333333333333
"3",-8.66666666666667,8.74908660214229,-1,274,"2","flupyradifurone","2_flupyradifurone",2023-08-08 17:58:41.082425,2023-08-08 17:55:01,"day",22.3333333333333
"4",3.88679245283019,8.75100974081971,1,274,"2","flupyradifurone","2_flupyradifurone",2023-08-08 18:01:27.241607,2023-08-08 17:55:01,"day",22.3333333333333
"5",-63.8571428571429,8.75398240862897,-1,274,"2","flupyradifurone","2_flupyradifurone",2023-08-08 18:05:44.080106,2023-08-08 17:55:01,"day",22.3333333333333
"6",341,9.49783203396394,1,274,"2","flupyradifurone","2_flupyradifurone",2023-08-09 11:56:52.687735,2023-08-08 17:55:01,"day",22.3333333333333
"1",60.5,8.74736551471085,1,264,"2","flupyradifurone","2_flupyradifurone",2023-08-08 17:56:12.380471,2023-08-08 17:55:01,"day",22.3333333333333
"2",-21.2222222222222,8.75034292739161,-1,264,"2","flupyradifurone","2_flupyradifurone",2023-08-08 18:00:29.628927,2023-08-08 17:55:01,"day",22.3333333333333
"3",370,8.78353194733875,1,264,"2","flupyradifurone","2_flupyradifurone",2023-08-08 18:48:17.16025,2023-08-08 17:55:01,"day",22.3333333333333
"4",49.3333333333333,8.81529682623291,1,264,"2","flupyradifurone","2_flupyradifurone",2023-08-08 19:34:01.645787,2023-08-08 17:55:01,"day",22.3333333333333
"5",178.5,9.02771338440036,1,264,"2","flupyradifurone","2_flupyradifurone",2023-08-09 00:39:54.436412,2023-08-08 17:55:01,"day",22.3333333333333
"6",20.7142857142857,9.24120049360691,1,264,"2","flupyradifurone","2_flupyradifurone",2023-08-09 05:47:19.722648,2023-08-08 17:55:01,"day",22.3333333333333
"7",20.3,9.40950065003326,1,264,"2","flupyradifurone","2_flupyradifurone",2023-08-09 09:49:40.856163,2023-08-08 17:55:01,"day",22.3333333333333
"8",NA,9.58674603518513,NA,264,"2","flupyradifurone","2_flupyradifurone",2023-08-09 14:04:54.85744,2023-08-08 17:55:01,"day",22.3333333333333
"9",NA,9.6018610780217,NA,264,"2","flupyradifurone","2_flupyradifurone",2023-08-09 14:26:40.797141,2023-08-08 17:55:01,"day",22.3333333333333
"10",-346,9.6629958989416,-1,264,"2","flupyradifurone","2_flupyradifurone",2023-08-09 15:54:42.845669,2023-08-08 17:55:01,"day",22.3333333333333
"11",NA,9.67561572474462,NA,264,"2","flupyradifurone","2_flupyradifurone",2023-08-09 16:12:53.198618,2023-08-08 17:55:01,"day",22.3333333333333
"12",-42.5,9.67858497399749,-1,264,"2","flupyradifurone","2_flupyradifurone",2023-08-09 16:17:09.741753,2023-08-08 17:55:01,"day",22.3333333333333
"1",-265,8.74873241411223,-1,265,"2","flupyradifurone","2_flupyradifurone",2023-08-08 17:58:10.480579,2023-08-08 17:55:01,"day",22.3333333333333
"2",-11,8.75013937249021,-1,265,"2","flupyradifurone","2_flupyradifurone",2023-08-08 18:00:12.041783,2023-08-08 17:55:01,"day",22.3333333333333
"1",38.8333333333333,8.74882723849011,1,272,"2","flupyradifurone","2_flupyradifurone",2023-08-08 17:58:18.673406,2023-08-08 17:55:01,"day",22.3333333333333
"2",-6.5,8.75030436965234,-1,272,"2","flupyradifurone","2_flupyradifurone",2023-08-08 18:00:26.297538,2023-08-08 17:55:01,"day",22.3333333333333
"3",-6.71428571428571,8.87724325522436,-1,272,"2","flupyradifurone","2_flupyradifurone",2023-08-08 21:03:13.817251,2023-08-08 17:55:01,"day",22.3333333333333
"4",18.0909090909091,8.97819971055551,1,272,"2","flupyradifurone","2_flupyradifurone",2023-08-08 23:28:36.454992,2023-08-08 17:55:01,"day",22.3333333333333
"5",2.33333333333333,9.08480524995655,1,272,"2","flupyradifurone","2_flupyradifurone",2023-08-09 02:02:07.173596,2023-08-08 17:55:01,"day",22.3333333333333
