start_date,end_date,treatment,tag_start,tag_end,round,sunset,sunrise,num_dead
7/31/23,8/1/23,control,80,99,1,20:20:00,5:47:00,0
8/1/23,8/2/23,imidacloprid,30,49,1,20:19:00,5:48:00,0
8/2/23,8/3/23,flupyradifurone,9,29,1,20:18:00,5:49:00,11
8/7/23,8/8/23,imidacloprid,280,299,2,20:12:00,5:54:00,0
8/8/23,8/9/23,flupyradifurone,260,279,2,20:10:00,5:55:00,3
8/9/23,8/10/23,control,300,319,2,20:09:00,5:57:00,2
8/15/23,8/16/23,control,120,139,3,20:00:00,6:03:00,0
8/16/23,8/17/23,imidacloprid,100,119,3,19:59:00,6:04:00,8
8/17/23,8/18/23,flupyradifurone,140,159,3,19:57:00,6:05:00,6
8/25/23,8/26/23,control,180,199,4,19:44:00,6:14:00,1
8/26/23,8/27/23,imidacloprid,200,219,4,19:43:00,6:15:00,
8/27/23,8/28/23,flupyradifurone,160,179,4,19:41:00,6:16:00,0
8/31/23,9/1/23,control,240,259,5,19:34:00,6:21:00,0
9/1/23,9/2/23,imidacloprid,220,239,5,19:32:00,6:22:00,0
9/2/23,9/3/23,flupyradifurone,320,339,5,19:31:00,6:23:00,1
9/6/23,9/7/23,flupyradifurone,360,379,6,19:24:00,6:27:00,
9/7/23,9/8/23,control,340,359,6,19:22:00,6:29:00,0
9/8/23,9/9/23,imidacloprid,380,399,6,19:20:00,6:30:00,0
9/10/23,9/11/23,imidacloprid,440,459,7,19:16:00,6:32:00,3
9/11/23,9/12/23,flupyradifurone,420,439,7,19:15:00,6:33:00,0
9/12/23,9/13/23,control,400,419,7,19:13:00,6:34:00,0
9/15/23,9/16/23,flupyradifurone,500,519,8,19:07:00,6:37:00,0
9/16/23,9/17/23,imidacloprid,460,479,8,19:06:00,6:39:00,0
9/17/23,9/18/23,control,480,499,8,19:04:00,6:40:00,1
9/21/23,9/22/23,flupyradifurone,560,579,9,18:56:00,6:44:00,0
9/22/23,9/23/23,control,540,559,9,18:55:00,6:45:00,0
9/23/23,9/24/23,imidacloprid,520,539,9,18:53:00,6:46:00,0
9/24/23,9/25/23,imidacloprid,620,639,10,18:51:00,6:47:00,4
9/25/23,9/26/23,flupyradifurone,600,619,10,18:49:00,6:49:00,0
9/26/23,9/27/23,control,580,599,10,18:47:00,6:50:00,1
